id,work_id,photo_url,stage,timestamp,latitude,longitude,phash,dhash
1,1,/photos/community_hall_1.jpg,Before/Early Stage,2026-09-05 12:17:00.161173,24.9567,83.9856,d3f4a1c2b5e688aa,d3f4a1c2b5e688aa
2,1,/photos/community_hall_1.jpg,Current Stage,2026-09-05 12:17:00.161173,24.9568,83.98570000000001,d3f4a1c2b5e688aa,d3f4a1c2b5e688aa
3,2,/photos/community_hall_1.jpg,Before/Early Stage,2026-09-05 12:17:00.177886,24.1724,72.4346,a1b2c3d4e5f67890,a1b2c3d4e5f67890
4,2,/photos/community_hall_1.jpg,Current Stage,2026-09-05 12:17:00.177886,24.1725,72.4347,a1b2c3d4e5f67890,a1b2c3d4e5f67890
5,3,/photos/street_light_1.jpg,Before/Early Stage,2026-09-05 12:17:00.177886,24.173,72.435,a1b2c3d4e5f67899,a1b2c3d4e5f67899
6,3,/photos/street_light_1.jpg,Current Stage,2026-09-05 12:17:00.177886,24.173099999999998,72.4351,a1b2c3d4e5f67899,a1b2c3d4e5f67899
7,4,/photos/street_light_1.jpg,Before/Early Stage,2026-09-05 12:17:00.194821,26.9124,75.7873,f0e1d2c3b4a59687,f0e1d2c3b4a59687
8,4,/photos/street_light_1.jpg,Current Stage,2026-09-05 12:17:00.194821,26.9125,75.7874,f0e1d2c3b4a59687,f0e1d2c3b4a59687
9,5,/photos/community_hall_1.jpg,Before/Early Stage,2026-09-05 12:17:00.201944,25.5941,85.1376,1122334455667788,1122334455667788
10,5,/photos/community_hall_1.jpg,Current Stage,2026-09-05 12:17:00.201944,25.5942,85.13770000000001,1122334455667788,1122334455667788
11,6,/photos/community_hall_1.jpg,Before/Early Stage,2026-09-05 12:17:00.201944,18.5204,73.8567,9988776655443322,9988776655443322
12,6,/photos/community_hall_1.jpg,Current Stage,2026-09-05 12:17:00.201944,18.5205,73.8568,9988776655443322,9988776655443322
13,7,/photos/community_hall_1.jpg,Before/Early Stage,2026-09-05 12:17:00.211290,21.8633648313757,83.07342109104378,bd9c66b3ad3c2d6d,bd9c66b3ad3c2d6d
14,7,/photos/community_hall_1.jpg,Current Stage,2026-09-05 12:17:00.211290,21.8634648313757,83.07352109104379,bd9c66b3ad3c2d6d,bd9c66b3ad3c2d6d
15,8,/photos/community_hall_1.jpg,Before/Early Stage,2026-09-05 12:17:00.211290,24.855947959494845,80.46255143778534,a65ed389b74d0fb1,a65ed389b74d0fb1
16,8,/photos/community_hall_1.jpg,Current Stage,2026-09-05 12:17:00.211290,24.856047959494845,80.46265143778534,a65ed389b74d0fb1,a65ed389b74d0fb1
17,9,/photos/street_light_1.jpg,Before/Early Stage,2026-09-05 12:17:00.211290,25.61530122040699,77.16973269611807,371ecd7b27cd8130,371ecd7b27cd8130
18,9,/photos/street_light_1.jpg,Current Stage,2026-09-05 12:17:00.211290,25.61540122040699,77.16983269611808,371ecd7b27cd8130,371ecd7b27cd8130
19,10,/photos/street_light_1.jpg,Before/Early Stage,2026-09-05 12:17:00.211290,26.9124,75.7873,e1f2a3b4c5d67890,e1f2a3b4c5d67890
20,10,/photos/street_light_1.jpg,Current Stage,2026-09-05 12:17:00.211290,26.9125,75.7874,e1f2a3b4c5d67890,e1f2a3b4c5d67890
21,11,/photos/community_hall_1.jpg,Before/Early Stage,2026-09-05 12:17:00.227889,23.729456549407555,73.95990982651281,60e7a113ec1b8ca1,60e7a113ec1b8ca1
22,11,/photos/community_hall_1.jpg,Current Stage,2026-09-05 12:17:00.227889,23.729556549407555,73.96000982651282,60e7a113ec1b8ca1,60e7a113ec1b8ca1
23,12,/photos/community_hall_1.jpg,Before/Early Stage,2026-09-05 12:17:00.227889,21.90039637764722,76.41188065767139,daf61a26146d3f31,daf61a26146d3f31
24,12,/photos/community_hall_1.jpg,Current Stage,2026-09-05 12:17:00.227889,21.90049637764722,76.41198065767139,daf61a26146d3f31,daf61a26146d3f31
25,13,/photos/community_hall_1.jpg,Before/Early Stage,2026-09-05 12:17:00.239446,21.755105543094754,76.07796954853178,aefcfad8efc89849,aefcfad8efc89849
26,13,/photos/community_hall_1.jpg,Current Stage,2026-09-05 12:17:00.239446,21.755205543094753,76.07806954853179,aefcfad8efc89849,aefcfad8efc89849
27,14,/photos/street_light_1.jpg,Before/Early Stage,2026-09-05 12:17:00.244812,26.913,75.7878,e1f2a3b4c5d67891,e1f2a3b4c5d67891
28,14,/photos/street_light_1.jpg,Current Stage,2026-09-05 12:17:00.244812,26.9131,75.78790000000001,e1f2a3b4c5d67891,e1f2a3b4c5d67891
29,15,/photos/community_hall_1.jpg,Before/Early Stage,2026-09-05 12:17:00.244812,25.536479471623174,75.372266092157,d7c524a55304317f,d7c524a55304317f
30,15,/photos/community_hall_1.jpg,Current Stage,2026-09-05 12:17:00.244812,25.536579471623174,75.37236609215701,d7c524a55304317f,d7c524a55304317f
31,16,/photos/community_hall_1.jpg,Before/Early Stage,2026-09-05 12:17:00.244812,27.023304249134085,76.78870042389732,7fcd9eb1a7cad415,7fcd9eb1a7cad415
32,16,/photos/community_hall_1.jpg,Current Stage,2026-09-05 12:17:00.244812,27.023404249134085,76.78880042389733,7fcd9eb1a7cad415,7fcd9eb1a7cad415
33,17,/photos/street_light_1.jpg,Before/Early Stage,2026-09-05 12:17:00.259877,24.357920588371595,83.23050579361865,e5d7b8756dadd6c7,e5d7b8756dadd6c7
34,17,/photos/street_light_1.jpg,Current Stage,2026-09-05 12:17:00.259877,24.358020588371595,83.23060579361865,e5d7b8756dadd6c7,e5d7b8756dadd6c7
35,18,/photos/community_hall_1.jpg,Before/Early Stage,2026-09-05 12:17:00.261396,21.307446422851264,74.4837318256645,6c12ace8ae340454,6c12ace8ae340454
36,18,/photos/community_hall_1.jpg,Current Stage,2026-09-05 12:17:00.261396,21.307546422851264,74.48383182566451,6c12ace8ae340454,6c12ace8ae340454
